cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id
1461,0x00000b76,0x00000b72,0x00064783,1,1,1,0,0,0,0,0,0,0,1,1,0,1
1462,0x00000b7a,0x00000b76,0x00f71763,1,0,1,1,0,0,0,0,1,1,0,1,1,1
1463,0x00000b7a,0x00000b76,0x00f71763,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1464,0x00000b7a,0x00000b76,0x00f71763,1,1,1,0,0,0,0,0,0,0,1,1,0,1
1465,0x00000b7c,0x00000b7a,0xfff50513,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1466,0x00000b7e,0x00000b7c,0x00160613,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1467,0x00000b80,0x00000b7e,0x00148493,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1468,0x00000b82,0x00000b80,0xfe0517e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1469,0x00000b84,0x00000b82,0x00d005b3,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1470,0x00000b86,0x00000b84,0x00b42223,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1471,0x00000b8a,0x00000b86,0xdeadc537,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1472,0x00000b8a,0x00000b86,0xdeadc537,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1473,0x00000b8e,0x00000b8a,0xeef50513,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1474,0x00000b8e,0x00000b8a,0xeef50513,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1475,0x00000b92,0x00000b8e,0x001025b7,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1476,0x00000b92,0x00000b8e,0x001025b7,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1477,0x00000b94,0x00000b92,0x00a5a023,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1478,0x00000b96,0x00000b94,0x00000513,1,1,1,0,0,0,0,0,1,1,0,1,0,1
1479,0x00000b98,0x00000b96,0x01c12083,1,1,1,0,0,0,1,0,0,0,1,1,0,1
1480,0x00000b9a,0x00000b98,0x01812403,1,1,1,0,0,0,0,0,1,1,0,1,0,1
1481,0x00000b9c,0x00000b9a,0x01412483,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1482,0x00000b9c,0x00000b9a,0x01412483,1,1,1,0,0,0,0,0,1,1,1,1,0,1
1483,0x00000b9e,0x00000b9c,0x02010113,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1484,0x00000b9e,0x00000b9c,0x02010113,1,1,1,0,0,0,0,0,1,1,1,1,0,1
1485,0x00000ba0,0x00000b9e,0x00008067,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1486,0x000000e8,0x00000b9e,0x00008067,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1487,0x000000e8,0x00000b9e,0x00008067,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1488,0x000000ea,0x000000e8,0x00a00433,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1489,0x000000ea,0x000000e8,0x00a00433,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1490,0x000000ec,0x000000ea,0x00800533,1,1,1,0,0,0,1,0,0,0,0,1,0,1
1491,0x000000f0,0x000000ec,0x214000ef,1,1,1,0,0,0,1,1,0,0,0,1,0,1
1492,0x00000300,0x000000ec,0x214000ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1493,0x00000300,0x000000ec,0x214000ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1494,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1495,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1496,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1497,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1498,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1499,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1500,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1501,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1502,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1503,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1504,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1505,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1506,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1507,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1508,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1509,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1510,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1511,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1512,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1513,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1514,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1515,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1516,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1517,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1518,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1519,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1520,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1521,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1522,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1523,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1524,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1525,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1526,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1527,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1528,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1529,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1530,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1531,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1532,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1533,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1534,0x00000302,0x00000300,0x0000006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
1535,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1536,0x00000300,0x00000300,0x0000006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0
