cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id
129,0x000006c4,0x000006c0,0x00c54783,1,1,1,0,0,0,0,0,0,0,0,1,1,1
130,0x000006c4,0x000006c0,0x00c54783,0,1,1,0,0,0,0,0,1,1,0,1,0,0
131,0x000006c8,0x000006c4,0x00d54703,1,0,0,0,0,0,0,0,0,0,0,1,1,1
132,0x000006c8,0x000006c4,0x00d54703,1,1,1,0,0,0,0,0,0,0,1,1,0,1
133,0x000006ca,0x000006c8,0x00d66633,1,1,1,0,0,0,0,0,1,1,0,1,1,1
134,0x000006ca,0x000006c8,0x00d66633,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,0x000006ca,0x000006c8,0x00d66633,0,1,1,0,0,0,0,0,0,0,1,1,0,0
136,0x000006ce,0x000006ca,0x00e54683,1,1,1,0,0,0,0,0,0,0,0,1,0,1
137,0x000006d2,0x000006ce,0x00f54503,1,1,1,0,0,0,0,0,1,1,0,1,1,1
138,0x000006d2,0x000006ce,0x00f54503,0,0,0,1,0,0,0,0,1,0,0,1,0,0
139,0x000006d2,0x000006ce,0x00f54503,0,0,1,1,0,0,0,0,1,1,1,1,0,0
140,0x000006d2,0x000006ce,0x00f54503,0,0,0,1,0,0,0,0,0,0,0,1,0,0
