cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id,mnemonic,category
3761,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3762,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3763,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3764,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3765,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3766,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3767,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3768,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3769,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3770,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3771,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3772,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3773,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3774,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3775,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3776,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3777,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3778,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3779,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3780,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3781,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3782,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3783,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3784,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3785,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3786,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3787,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3788,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3789,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3790,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3791,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3792,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3793,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3794,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3795,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3796,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3797,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3798,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3799,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3800,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3801,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3802,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3803,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3804,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3805,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3806,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3807,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3808,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3809,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3810,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3811,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3812,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3813,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3814,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3815,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3816,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3817,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3818,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3819,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3820,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3821,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3822,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3823,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3824,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3825,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3826,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3827,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3828,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3829,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3830,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3831,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3832,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3833,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3834,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3835,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3836,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3837,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3838,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3839,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3840,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3841,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3842,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3843,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3844,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3845,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3846,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3847,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3848,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3849,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3850,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3851,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3852,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3853,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3854,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3855,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3856,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3857,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,0,0,add,ifetch_miss
3858,0x00000bd2,0x00000bce,0x00044683,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3859,0x00000bd2,0x00000bce,0x00044683,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3860,0x00000bd6,0x00000bd2,0x0005c703,1,0,0,0,0,0,0,0,0,0,0,1,1,1,lbu,pipeline_backpressure
3861,0x00000bd6,0x00000bd2,0x0005c703,1,1,1,0,0,0,0,0,0,0,1,1,0,1,lbu,useful_other
3862,0x00000bda,0x00000bd6,0x00e69763,1,0,1,1,0,0,0,0,1,1,0,1,1,1,bne,load_use_stall
3863,0x00000bda,0x00000bd6,0x00e69763,1,0,0,1,0,0,0,0,0,0,0,1,0,1,bne,load_use_stall
3864,0x00000bda,0x00000bd6,0x00e69763,1,1,1,0,0,0,0,0,0,0,1,1,0,1,bne,useful_other
3865,0x00000bdc,0x00000bda,0xfff48493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3866,0x00000bde,0x00000bdc,0x00158593,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3867,0x00000be0,0x00000bde,0x00140413,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3868,0x00000be2,0x00000be0,0xfe0497e3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,bne,useful_other
3869,0x00000be4,0x00000be2,0x00c00533,0,1,1,0,0,0,1,1,0,0,0,1,0,1,add,branch_penalty
3870,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
3871,0x00000bce,0x00000be2,0x00c00533,0,1,1,0,0,0,1,0,0,0,0,1,1,0,add,ifetch_miss
